dataset,method,seed,loss,mse,dice,iou,beta0_error,beta1_error,topology_exact
fashion,Classical best,-1,0.15308048271920735,0.024798044320463335,0.92046416786,0.8722696864106,1.6341666666666668,2.1536666666666666,0.257
fashion,Conditional mean mask,101,0.1308019831874995,0.022647746597471666,0.938996588509,0.8942509528038333,1.225,1.853,0.2786666666666667
fashion,Conditional mean mask,102,0.1302125036796745,0.022658801019265,0.9390450883723334,0.8943264037496667,1.2205,1.8501666666666667,0.2808333333333333
fashion,Conditional mean mask,103,0.13022656763371285,0.022675382651759998,0.9388416315118334,0.8940525073955,1.2221666666666666,1.8511666666666666,0.2818333333333333
fashion,Conditional mean mask,104,0.13038142550745552,0.022630527209621665,0.9389118986243334,0.8941895555518332,1.2243333333333333,1.8456666666666666,0.2796666666666667
fashion,Conditional mean mask,105,0.1303149432716595,0.022631164964726665,0.9390211233315,0.8943063021293333,1.2201666666666666,1.8445,0.28
fashion,Conditional sampled,101,0.13140921876722722,0.022966422076727246,0.9385028002519248,0.8934012401083398,1.2261719279591545,1.8638121796872449,0.277900283760085
fashion,Conditional sampled,102,0.1311606559148242,0.02297173398136764,0.9384940145226395,0.8934030059188519,1.2249102966548129,1.8606140597915928,0.2790234700808739
fashion,Conditional sampled,103,0.13137699804015968,0.022973835407278438,0.9383495950714118,0.8932430649003101,1.2283478180318905,1.8620619873670188,0.27848677253819215
fashion,Conditional sampled,104,0.13119245822162698,0.02294762129891743,0.9384244486539219,0.8933369532117748,1.2280796093372746,1.8592335717151542,0.27896693989475885
fashion,Conditional sampled,105,0.13123753403558933,0.022956154285010615,0.9384652086652365,0.8933935317947809,1.2256103064049004,1.8593205666279964,0.2784311665007994
fashion,Conditional selector,101,0.13076957381387183,0.022617347033875003,0.9390402007961667,0.8943350991885,1.2238333333333333,1.8495,0.2783333333333333
fashion,Conditional selector,102,0.130008196199651,0.022588648066156666,0.9391341233353334,0.8944877414036667,1.2186666666666666,1.8436666666666666,0.2813333333333333
fashion,Conditional selector,103,0.13015488262942435,0.0226296769717,0.9389067397723334,0.8941739462291667,1.2201666666666666,1.8463333333333334,0.2808333333333333
fashion,Conditional selector,104,0.1304273267127635,0.02258269567867167,0.9389820421435,0.8943254228601666,1.2228333333333334,1.8428333333333333,0.2793333333333333
fashion,Conditional selector,105,0.13033867814785516,0.022605867450189998,0.9390643752204999,0.8943856416965,1.2196666666666667,1.8406666666666667,0.2796666666666667
fashion,Exact gate sampled,101,0.13459580836205062,0.023821660978163597,0.935892783843425,0.8902964817560047,1.2755147790848707,1.8320354796974045,0.2698419912977719
fashion,Exact gate sampled,102,0.13480641278115643,0.024004287479616793,0.9358973658277228,0.8900714568716924,1.2628666902185597,1.8473256195273071,0.2694854694608355
fashion,Exact gate sampled,103,0.13519237876065754,0.02355805182864545,0.9344219464794409,0.8891633932813084,1.3069909122359202,1.8201682672423392,0.2711656952590687
fashion,Exact gate sampled,104,0.13462866340259683,0.02344646625218708,0.935790133983903,0.8907515620049479,1.300272587026336,1.8290880824215923,0.27215884742680335
fashion,Exact gate sampled,105,0.13624054773170374,0.023446818093242606,0.9355110413663517,0.8906152612579126,1.3089609649910632,1.8422432730649416,0.2657881442448705
fashion,Exact softmax gate,101,0.1330457985988385,0.02323086745722,0.9372419783808333,0.8921119277355166,1.2613333333333334,1.8216666666666668,0.27166666666666667
fashion,Exact softmax gate,102,0.1325880845847185,0.023386692280503336,0.9374299217721667,0.8921510415439501,1.2446666666666666,1.8353333333333333,0.2725
fashion,Exact softmax gate,103,0.1327763349235025,0.02288818038577667,0.9361769534173333,0.8915866493137667,1.2783333333333333,1.8096666666666668,0.27516666666666667
fashion,Exact softmax gate,104,0.13289767024445717,0.022799107244793334,0.937551435186,0.8929551199341,1.2711666666666666,1.8198333333333334,0.27366666666666667
fashion,Exact softmax gate,105,0.134237820807438,0.022776998405835,0.9368881742215001,0.8925831104137666,1.2716666666666667,1.8286666666666667,0.2675
fashion,Input,-1,0.3791496654394,0.049970875944826666,0.8894015133004667,0.8167844065965334,14.924166666666666,6.610333333333333,0.00016666666666666666
fashion,Learned local filter,-1,0.16494621048348435,0.022024659863705002,0.929236888655,0.8814227102244666,1.3823333333333334,1.6485,0.17816666666666667
fashion,No topology,101,0.13976973339539484,0.02193431133286,0.9396918578254999,0.8955318853638333,1.3351666666666666,1.8046666666666666,0.2435
fashion,No topology,102,0.13926080194063983,0.021891156571303333,0.9398131050680001,0.8957123244480001,1.3268333333333333,1.8043333333333333,0.24466666666666667
fashion,No topology,103,0.13850947634305483,0.021873937184018335,0.9397038987681667,0.8955922829333334,1.3225,1.7965,0.2465
fashion,No topology,104,0.13905024809490435,0.021885629358621667,0.9397824906721667,0.8956765844804999,1.3308333333333333,1.8003333333333333,0.24516666666666667
fashion,No topology,105,0.13865198871517984,0.021855654867163333,0.9398509917114999,0.8957748406016667,1.3236666666666668,1.7981666666666667,0.24733333333333332
fashion,O_square2,-1,0.26882656679662215,0.04899022112707667,0.8292208394894499,0.7513775359617832,1.9826666666666666,3.7188333333333334,0.057166666666666664
fashion,O_square3,-1,0.35149506679143494,0.09116262747998,0.66310534409285,0.5768952738580166,2.5221666666666667,2.666,0.06333333333333334
fashion,O_square4,-1,0.40330519121975167,0.14055102021200833,0.5165320029134667,0.4251463519634833,2.5248333333333335,2.4226666666666667,0.10633333333333334
fashion,Oracle (diagnostic),-1,0.07789288406730001,0.02916071436517,0.9288424562718333,0.8768914108713334,0.6185,0.9386666666666666,0.5021666666666667
fashion,Soft morphology,-1,0.22084636240008002,0.07676636898743999,0.80598016589495,0.7147726506328,1.7906666666666666,2.3468333333333335,0.23916666666666667
fashion,Three openings,101,0.26118233995085666,0.056853316353565005,0.81874191828345,0.7334631435774499,1.935,3.298,0.08883333333333333
fashion,Three openings,102,0.26129611292950333,0.05706356294383833,0.8185399774741167,0.7330468763922833,1.9358333333333333,3.2828333333333335,0.08933333333333333
fashion,Three openings,103,0.2614216098115322,0.05665688777955333,0.8191109927574499,0.7339766034246166,1.9395,3.3133333333333335,0.08833333333333333
fashion,Three openings,104,0.261072882705145,0.05713010206729334,0.81859507916145,0.73312939881895,1.9341666666666666,3.2608333333333333,0.08833333333333333
fashion,Three openings,105,0.26138395489043503,0.05668537417274334,0.8190829508677833,0.7339638189467834,1.9361666666666666,3.2936666666666667,0.088
fashion,Training best,-1,0.15308048271920735,0.024798044320463335,0.92046416786,0.8722696864106,1.6341666666666668,2.1536666666666666,0.257
fashion,Uniform sampled,-1,0.29142413451488336,0.085966425339305,0.7594917647395334,0.6779182534549166,3.4689569863112837,2.6376182739684,0.12866666357371664
fashion,Validation best,-1,0.15308048271920735,0.024798044320463335,0.92046416786,0.8722696864106,1.6341666666666668,2.1536666666666666,0.257
fashion,area16,-1,0.176577222684699,0.029205569810623336,0.8871214706905,0.8374221218666666,1.8656666666666666,2.306,0.24816666666666667
fashion,area3,-1,0.16389431500992083,0.024791241597560004,0.9345897537969999,0.8872267758321667,1.5848333333333333,1.6833333333333333,0.18683333333333332
fashion,area32,-1,0.20089957216605733,0.034271896305373334,0.8413756453966666,0.7957064899805,2.0171666666666668,2.3526666666666665,0.24433333333333335
fashion,area8,-1,0.15308048271920735,0.024798044320463335,0.92046416786,0.8722696864106,1.6341666666666668,2.1536666666666666,0.257
fashion,gaussian06,-1,0.20011616434754634,0.025679209300453334,0.9336811874426,0.8852232635664167,2.2965,1.6383333333333334,0.10633333333333334
fashion,gaussian10,-1,0.18858317454676501,0.03830952389082333,0.8576829428317833,0.7913536536330333,1.5778333333333334,2.1845,0.23183333333333334
fashion,median3,-1,0.19878708439450002,0.04668069731389167,0.8406682608991667,0.7667141580427833,1.5101666666666667,2.118333333333333,0.21983333333333333
fashion,median5,-1,0.251536592672135,0.07158949823988166,0.7373398046280832,0.6578978759945316,1.8748333333333334,2.301,0.224
mnist,Classical best,-1,0.044701698613833336,0.013724489895371667,0.9472278401818334,0.9022104278396668,0.08616666666666667,0.1495,0.8045
mnist,Conditional mean mask,101,0.042485188235216666,0.013669430267956665,0.9464767048556667,0.9014011727811667,0.06916666666666667,0.14233333333333334,0.8245
mnist,Conditional mean mask,102,0.04261344463269167,0.0136932397917,0.9463804686233334,0.9012399845783334,0.06866666666666667,0.1435,0.8238333333333333
mnist,Conditional mean mask,103,0.042658747624481665,0.013688775506003333,0.9464280742388334,0.901305153909,0.06933333333333333,0.14316666666666666,0.8241666666666667
mnist,Conditional mean mask,104,0.042565722013805,0.013697704077506666,0.9463270073118333,0.9011656453456667,0.06916666666666667,0.14216666666666666,0.8251666666666667
mnist,Conditional mean mask,105,0.04261906850804167,0.013699829927826668,0.9463780373368332,0.9012387927781667,0.0695,0.14266666666666666,0.8241666666666667
mnist,Conditional sampled,101,0.04324955044160445,0.013800904349574991,0.9458281515451666,0.9004769980028333,0.07184926706280549,0.14428185191577886,0.8206117667454073
mnist,Conditional sampled,102,0.0433166259178962,0.013801936842740859,0.9457976097586667,0.9004275987638333,0.07171847111148266,0.1447910320245374,0.8203155247763139
mnist,Conditional sampled,103,0.043362073833389386,0.013811438241020565,0.9457655212026667,0.9003762392471667,0.07197965775801508,0.14498748304972067,0.8202241741397605
mnist,Conditional sampled,104,0.043333414701245875,0.013813840804523771,0.9457219234803333,0.9003123544963334,0.07231949711429525,0.14420512849221753,0.8205098853962227
mnist,Conditional sampled,105,0.04335042533127701,0.013816551175216846,0.9457471152608333,0.9003450926604999,0.07234981447587216,0.1444847497176851,0.8201064725762441
mnist,Conditional selector,101,0.04264760368047667,0.013742134455105,0.9461195188031667,0.9008948626053334,0.0695,0.14183333333333334,0.8238333333333333
mnist,Conditional selector,102,0.042709976594825,0.013750425271288334,0.9460927319585,0.9008458190036666,0.0685,0.14316666666666666,0.824
mnist,Conditional selector,103,0.04276362996801667,0.013751488197743335,0.9461069474475,0.9008468080634999,0.06916666666666667,0.1425,0.8243333333333334
mnist,Conditional selector,104,0.04274466008856,0.013753188877326667,0.9460421272483333,0.9007650160763333,0.06933333333333333,0.14183333333333334,0.8248333333333333
mnist,Conditional selector,105,0.042879322315230006,0.01377402221114,0.9460561660486666,0.900766218481,0.0705,0.14266666666666666,0.8228333333333333
mnist,Exact gate sampled,101,0.04506461084815392,0.014159030408778415,0.9441924062772458,0.8981393570617847,0.09859973945539137,0.13089530015071313,0.8157088789762565
mnist,Exact gate sampled,102,0.044204872707675404,0.01386691451138188,0.9442602121679006,0.8988667046074055,0.08749792481768179,0.1360115999548759,0.8239818147715668
mnist,Exact gate sampled,103,0.044670749049263624,0.014115733804140947,0.9435168045924551,0.8976141530857226,0.09230427598333935,0.13356854049308156,0.8189042369624584
mnist,Exact gate sampled,104,0.043798874998102595,0.01419864101404037,0.9446425422229999,0.8985344823131667,0.08436969828683953,0.1375896300649611,0.8215579658777161
mnist,Exact gate sampled,105,0.04408684536379976,0.013846228089978962,0.9450570595996666,0.8997986800476666,0.08987733511994717,0.13639213457006152,0.8233855758536976
mnist,Exact softmax gate,101,0.04397191795880501,0.013956420167729999,0.9450426617943334,0.8992328971560001,0.08716666666666667,0.12816666666666668,0.82
mnist,Exact softmax gate,102,0.04313711742727667,0.013683673566486669,0.9449984483585,0.8997758954345,0.07483333333333334,0.13383333333333333,0.8285
mnist,Exact softmax gate,103,0.043804654115411665,0.013935799420365,0.9442306696451667,0.8985480924891667,0.08016666666666666,0.13183333333333333,0.822
mnist,Exact softmax gate,104,0.042943349743975,0.013981717784538333,0.9456461753826667,0.8998125512875,0.07266666666666667,0.1365,0.8238333333333333
mnist,Exact softmax gate,105,0.04261699522276167,0.013620323225273333,0.9459990231488333,0.9009521473983333,0.07633333333333334,0.132,0.8295
mnist,Input,-1,0.39559940943526667,0.049927721146575,0.8343123618478333,0.7293360307766668,20.998333333333335,1.7111666666666667,0.0
mnist,Learned local filter,-1,0.07351555207510833,0.01130442176486,0.9531819814815,0.9126468904173333,0.42816666666666664,0.15233333333333332,0.6176666666666667
mnist,No topology,101,0.047132782139339996,0.012774234782916668,0.9501480196129999,0.9075381459086665,0.11466666666666667,0.15433333333333332,0.786
mnist,No topology,102,0.046907724492043334,0.012761267095453334,0.9502611242635,0.907707669266,0.11283333333333333,0.15416666666666667,0.787
mnist,No topology,103,0.046642058910286666,0.012763605529713333,0.9502320129985,0.9076783985868333,0.112,0.1525,0.7885
mnist,No topology,104,0.046799368102160004,0.012743197366785,0.9503007581635,0.9077902852866667,0.11166666666666666,0.15383333333333332,0.7876666666666666
mnist,No topology,105,0.046724729759195,0.012755739884041667,0.9502714030953333,0.9077405724491667,0.1125,0.15283333333333332,0.7871666666666667
mnist,O_square2,-1,0.184240056273585,0.021463648066088335,0.9000989458898333,0.8284379448298668,1.3981666666666666,0.4096666666666667,0.2608333333333333
mnist,O_square3,-1,0.3556729136023883,0.0767961309129,0.4893088382133,0.3802466918585667,1.0656666666666668,0.4643333333333333,0.191
mnist,O_square4,-1,0.494054849803385,0.11835990634981002,0.132179734173,0.09144543746708333,0.8445,0.4825,0.11733333333333333
mnist,Oracle (diagnostic),-1,0.03026332896768167,0.012761267088213332,0.9496199305635,0.9076991705718332,0.0275,0.06366666666666666,0.9171666666666667
mnist,Soft morphology,-1,0.14529394214722832,0.05986904760005167,0.7950244706117334,0.6703355930358,0.2095,0.3368333333333333,0.5828333333333333
mnist,Three openings,101,0.183285382071165,0.021852678672650002,0.8985134799513333,0.8261845393482,1.395,0.39466666666666667,0.2643333333333333
mnist,Three openings,102,0.183281064817915,0.021828869149398335,0.8986790350115,0.8263840370630334,1.3951666666666667,0.3955,0.264
mnist,Three openings,103,0.18315783884723166,0.021873724588831668,0.8983706387313334,0.8259965001255334,1.393,0.3945,0.26516666666666666
mnist,Three openings,104,0.18331168519093335,0.021806547721608335,0.8987579900408333,0.8265049073947,1.3953333333333333,0.39516666666666667,0.26416666666666666
mnist,Three openings,105,0.183263995338615,0.021884353842191666,0.8983744510345,0.8259827770248667,1.3945,0.3945,0.26466666666666666
mnist,Training best,-1,0.044701698613833336,0.013724489895371667,0.9472278401818334,0.9022104278396668,0.08616666666666667,0.1495,0.8045
mnist,Uniform sampled,-1,0.30097629920641666,0.07440327438604999,0.6652814475003334,0.5726547455521667,3.8697688147448335,0.45512365148231665,0.21362902637486664
mnist,Validation best,-1,0.044701698613833336,0.013724489895371667,0.9472278401818334,0.9022104278396668,0.08616666666666667,0.1495,0.8045
mnist,area16,-1,0.05119965824013667,0.015089498398426668,0.9412005644901666,0.8927606902559999,0.06233333333333333,0.22866666666666666,0.7603333333333333
mnist,area3,-1,0.12522894061952167,0.01941581640663,0.9277659141348332,0.8713650066858333,1.4511666666666667,0.122,0.4756666666666667
mnist,area32,-1,0.070399392938095,0.019632653138440002,0.9200737972323333,0.8639073425888334,0.063,0.3561666666666667,0.6756666666666666
mnist,area8,-1,0.044701698613833336,0.013724489895371667,0.9472278401818334,0.9022104278396668,0.08616666666666667,0.1495,0.8045
mnist,gaussian06,-1,0.193422535761095,0.02022151369658,0.9239329891355,0.8648507128458334,2.987,0.3988333333333333,0.244
mnist,gaussian10,-1,0.08095935391743667,0.01774596101337,0.9217932472106666,0.8601380527279999,0.3205,0.20166666666666666,0.6555
mnist,median3,-1,0.09138629701821666,0.020944302866336667,0.9106004567500001,0.8409000514641666,0.3915,0.19066666666666668,0.6355
mnist,median5,-1,0.2478624539723,0.05991985541729833,0.6709172864932333,0.5453745719166834,0.7881666666666667,0.407,0.36133333333333334
shapes,Classical best,-1,0.04499574974560087,0.0065939170267985975,0.967103563034402,0.9380147069595859,0.12992651970607882,0.3496993987975952,0.6796927187708751
shapes,Conditional mean mask,101,0.04026834850443721,0.00642880088865531,0.968139535999666,0.9398723486205744,0.06513026052104208,0.3680694722778891,0.7157648630594522
shapes,Conditional mean mask,102,0.04041666610759352,0.0064427176109666,0.9681180517231129,0.9398322240257181,0.06613226452905811,0.3700734802939212,0.7134268537074149
shapes,Conditional mean mask,103,0.04025678833428357,0.006426771366748163,0.9681892907989312,0.9399593856429526,0.06412825651302605,0.36840347361389447,0.7157648630594522
shapes,Conditional mean mask,104,0.04034439589482465,0.006434454557148965,0.9681271974392118,0.939849875017368,0.06513026052104208,0.36840347361389447,0.7150968603874416
shapes,Conditional mean mask,105,0.04039987124878925,0.006439093464587174,0.968105343251837,0.9398111624903139,0.0644622578490314,0.37040748162992654,0.7144288577154309
shapes,Conditional sampled,101,0.041469153560162744,0.006506134715645308,0.9676645698396793,0.939014375471276,0.07134627419117981,0.3746949829321645,0.7070824292705549
shapes,Conditional sampled,102,0.041487284626796336,0.006505462650487533,0.9676595104655978,0.9390082367000668,0.07106132387825038,0.3752860339963324,0.7071540745051882
shapes,Conditional sampled,103,0.04138660111353147,0.006498922229044466,0.967704284496326,0.9390862675531063,0.07078410848931017,0.3744527086004387,0.7080671312408131
shapes,Conditional sampled,104,0.04147655336797348,0.006503581713483673,0.9676697654061456,0.9390241079081496,0.07055575523808841,0.37540138013171115,0.7073955531278829
